MegaMek Equipment Extended Database
This file can be regenerated with java -jar MegaMek.jar -eqedb /Users/ianbellomy/Sites/megamek/megamek/extended-equipment.txt
Type,Name,Tech Base,Rules,Tech Rating,Static Tech Level,Introduction Date,Prototype Date,Production Date,Common Date,Extinction Date,Re-Introduction Date,Tonnage,CriticalSlots,Cost,BV,RulesRef,Alias
W,"Small Pulse Laser","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-E-D-C","Standard","~2870(CHH)","~2870(CHH)","~2872(CHH)","2880","-","-",0.4,1,16000.0,24.0,"258, TM","CLBASmallPulseLaser,Clan BA Pulse Small Laser,Clan BA Small Pulse Laser,"
W,"SRM 1","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.035,1,5000.0,15.0,"261, TM","CLBASRM1,Clan BA SRM-1,Clan BA SRM 1,"
W,"SRM 1 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.02,2,2500.0,3.0,"261, TM","CLBASRM1OS,"
W,"SRM 2","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.07,2,10000.0,21.0,"261, TM","CLBASRM2,Clan BA SRM-2,Clan BA SRM 2,"
W,"SRM 2 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.04,2,5000.0,4.0,"261, TM","CLBASRM2 (OS),CLBASRM2OS,Clan BA OS SRM-2,Clan BA SRM 2 (OS),"
W,"SRM 3","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.105,2,15000.0,21.0,"261, TM","CLBASRM3,Clan BA SRM-3,Clan BA SRM 3,"
W,"SRM 3 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.06,2,7500.0,6.0,"261, TM","CLBASRM3 (OS),Clan BA SRM 3 (OS),Clan BA OS SRM-3,CLBASRM3OS,"
W,"SRM 4","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.14,2,20000.0,39.0,"261, TM","CLBASRM4,Clan BA SRM-4,Clan BA SRM 4,"
W,"SRM 4 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.08,3,10000.0,8.0,"261, TM","CLBASRM4 (OS),Clan BA OS SRM-4,Clan BA SRM 4 (OS),CLBASRM4OS,"
W,"SRM 5","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.175,3,25000.0,47.0,"261, TM","CLBASRM5,Clan BA SRM-5,Clan BA SRM 5,"
W,"SRM 5 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.1,3,12500.0,9.0,"261, TM","CLBASRM5OS,"
W,"SRM 6","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.21,3,30000.0,59.0,"261, TM","CLBASRM6,Clan BA SRM-6,Clan BA SRM 6,"
W,"SRM 6 (OS)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-D-C-B","Standard","~2865(CWF)","~2865(CWF)","2868(CWF)","2870","-","-",0.12,4,15000.0,12.0,"261, TM","CLBASRM6 (OS),Clan BA OS SRM-6,Clan BA SRM 6 (OS),CLBASRM6OS,"
W,"Bomb Rack (Micro)","Clan","Clan_TW/Clan_Advanced/Clan_Experimental","F/X-X-F-E","Standard","~3055(CCC)","~3055(CCC)","3060(CCC)","3065","-","-",0.1,2,30000.0,11.0,"253, TM","CLBAMicroBomb,CLBAMicro Bomb,"
W,"Narc (Compact)","Inner Sphere","IS_TW_Non_Box/IS_Unofficial","E/X-F-E-D","Standard","~2870(CSV)","~2870(CSV)","2875(CSV)","3060","-","-",0.15,1,15000.0,16.0,"263, TM","CLBACompactNarc,CLBACompact Narc,ISBACompactNarc,ISBACompact Narc,"
W,"ER Medium Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-C","Standard","~3055(FW)","~3055(FW)","3058(FW)","3062","-","-",0.8,3,80000.0,62.0,"258, TM","ISBAERMediumLaser,IS BA ER Medium Laser,"
W,"ER Small Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-C","Standard","~3055(FW)","~3055(FW)","3058(FW)","3062","-","-",0.35,2,11250.0,17.0,"258, TM","ISBAERSmallLaser,IS BA ER Small Laser,"
W,"Machine Gun (Heavy)","Inner Sphere","IS_TW_Non_Box","C/X-X-C-B","Standard","3068","-","-","3068","-","-",0.15,1,7500.0,6.0,"258, TM","ISBAHeavyMachineGun,IS BA Heavy Machine Gun,ISBAHeavyMG,"
W,"Gauss Rifle [Magshot]","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3057(FS)","~3057(FS)","3059(FS)","3060","-","-",0.175,3,10500.0,15.0,"255, TM","ISBAMagshotGaussRifle,ISBAMagshotGR,"
W,"Medium Laser","Inner Sphere","IS_TW_Non_Box/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC,DC)","3050","-","-",0.5,3,40000.0,46.0,"258, TM","ISBAMediumLaser,IS BA Medium Laser,"
W,"Medium Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-C","Standard","~3057(LC)","~3057(LC)","3060(LC)","3062","-","-",0.8,3,60000.0,48.0,"258, TM","ISBAMediumPulseLaser,IS BA Pulse Med Laser,IS BA Medium Pulse Laser,"
W,"Plasma Rifle (Man-Portable)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-C","Standard","~3063(CC)","~3063(CC)","3065(CC)","3074","-","-",0.3,2,28000.0,12.0,"267, TM","ISBAPlasmaRifle,IS BA Plasma Rifle,"
W,"Small Laser","Inner Sphere","IS_TW_Non_Box/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC,DC)","3050","-","-",0.2,1,11250.0,9.0,"258, TM","ISBASmallLaser,ISBASmall Laser,"
W,"Small Pulse Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-C","Standard","~3057(LC)","~3057(LC)","3060(LC)","3062","-","-",0.4,1,16000.0,12.0,"258, TM","ISBASmallPulseLaser,IS BA Small Pulse Laser,ISBASmall Pulse Laser,"
W,"Small VSP Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3070(FW,WB)","3070(FW,WB)","3072(FW,WB)","3080","-","-",0.5,2,60000.0,22.0,"321, TO","ISBASmallVSPLaser,ISBASVSPL,ISBASmallVariableSpeedLaser,ISBASmallVSP,"
W,"Medium VSP Laser","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","3070(FW,WB)","3070(FW,WB)","3072(FW,WB)","3080","-","-",0.9,4,200000.0,56.0,"321, TO","ISBAMediumVSPLaser,ISBAMVSPL,ISBAMediumVariableSpeedLaser,ISBAMediumVSP,"
W,"Battle Armor Taser","Inner Sphere","IS_Advanced/IS_Experimental","E/X-X-F-E","Advanced","3067(WB)","3067(WB)","3084(WB)","-","-","-",0.3,3,10000.0,15.0,"346, TO","ISBATaser,IS BA Taser,"
W,"Gauss Rifle [David]","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3058(FW)","~3058(FW)","3063(FW)","3065","-","-",0.1,1,22500.0,7.0,"255, TM","BADavidLightGaussRifle,ISBADavidLightGaussRifle,"
W,"Needler (Firedrake)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","D/X-X-C-B","Standard","~3058(LC)","~3058(LC)","3060(LC)","3068","-","-",0.05,1,1500.0,2.0,"266, TM","ISBAFireDrakeNeedler,ISBAFiredrakeIncendiaryNeedler,"
W,"Gauss Rifle [Grand Mauler]","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-E","Standard","~3055(FS)","~3055(FS)","3059(FS)","3060","-","-",0.125,2,8000.0,6.0,"255, TM","ISBAGrandMaulerGaussCannon,ISBAGrandMauler,"
W,"Gauss Rifle [King David]","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3058(FW)","~3058(FW)","3063(FW)","3065","-","-",0.275,2,30000.0,7.0,"255, TM","ISBAKingDavidLightGaussRifle,IS BA King David Light Gauss Rifle,"
W,"Grenade Launcher (Micro)","Inner Sphere","IS_TW_Non_Box/IS_Advanced","B/X-B-B-B","Standard","ES","ES","ES","3050","-","-",0.075,1,1950.0,1.0,"256, TM","ISBAMicroGrenadeLauncher,IS BA Micro Grenade Launcher,CL BA Micro Grenade Launcher,CLBAMicroGrenadeLauncher,"
W,"Pop-up Mine","Inner Sphere","IS_Advanced","E/X-X-E-F","Standard","3050(FS,LC)","-","3050(FS,LC)","-","-","-",0.2,1,2500.0,6.0,"267, TM","BAMineLauncher,ISMine Launcher,"
W,"Gauss Rifle [Tsunami]","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-E","Standard","~3054(DC)","~3054(DC)","3056(DC)","3058","-","-",0.125,2,9500.0,6.0,"255, TM","ISBATsunamiHeavyGaussRifle,BA-ISTsunamiHeavyGaussRifle,IS BA Tsunami Heavy Gauss Rifle,"
W,"SRM 1","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.06,1,5000.0,15.0,"261, TM","ISBASRM1,IS BA SRM-1,IS BA SRM 1,"
W,"SRM 2","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.12,2,10000.0,21.0,"261, TM","ISBASRM2,IS BA SRM-2,IS BA SRM 2,"
W,"SRM 3","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.18,2,15000.0,30.0,"261, TM","ISBASRM3,IS BA SRM-3,IS BA SRM 3,"
W,"SRM 4","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.24,2,2000.0,39.0,"261, TM","ISBASRM4,IS BA SRM-4,IS BA SRM 4,"
W,"SRM 5","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.3,3,25000.0,47.0,"261, TM","ISBASRM5,IS BA SRM-5,IS BA SRM 5,"
W,"SRM 6","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.36,3,30000.0,59.0,"261, TM","ISBASRM6,IS BA SRM-6,IS BA SRM 6,"
W,"LRM 1","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.06,2,6000.0,14.0,"261, TM","ISBALRM1,IS BA LRM-1,IS BA LRM 1,"
W,"LRM 2","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.12,2,12000.0,20.0,"261, TM","ISBALRM2,IS BA LRM-2,IS BA LRM 2,"
W,"LRM 3","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.18,3,18000.0,29.0,"261, TM","ISBALRM3,IS BA LRM-3,IS BA LRM3,IS BA LRM 3,"
W,"LRM 4","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.24,3,12000.0,38.0,"261, TM","ISBALRM4,IS BA LRM-4,IS BA LRM 4,"
W,"LRM 5","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.3,4,30000.0,45.0,"261, TM","ISBALRM5,IS BA LRM-5,IS BA LRM 5,"
W,"MRM 1","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.06,1,5000.0,9.0,"261, TM","ISBAMRM1,BA MRM-1,IS BA MRM 1,"
W,"MRM 2","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.12,2,10000.0,9.0,"261, TM","ISBAMRM2,BA MRM-2,IS BA MRM 2,"
W,"MRM 3","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.18,2,15000.0,18.0,"261, TM","ISBAMRM3,BA MRM-3,IS BA MRM 3,"
W,"MRM 4","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.24,3,20000.0,23.0,"261, TM","ISBAMRM4,BA MRM-4,IS BA MRM 4,"
W,"MRM 5","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.3,3,25000.0,28.0,"261, TM","ISBAMRM5,BA MRM-5,IS BA MRM 5,"
W,"SRM 1 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.05,2,2500.0,3.0,"261, TM","ISBASRM1OS,IS BA SRM1 OS,"
W,"SRM 2 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.075,2,5000.0,4.0,"261, TM","ISBASRM2OS,ISBASRM2 (OS),IS BA SRM 2 (OS),OS BA SRM-2,"
W,"SRM 3 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.125,2,7500.0,6.0,"261, TM","ISBASRM3OS,IS BA SRM3 OS,"
W,"SRM 4 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.15,3,10000.0,8.0,"261, TM","ISBASRM4OS,ISBASRM4 (OS),IS BA SRM 4 (OS),OS BA SRM-4,"
W,"SRM 5 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.175,3,12500.0,9.0,"261, TM","ISBASRM5OS,IS BA SRM5 OS,"
W,"SRM 6 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3051","-","-",0.2,4,15000.0,12.0,"261, TM","ISBASRM6OS,ISBASRM6 (OS),IS BA SRM 6 (OS),IS OS BA SRM-6,"
W,"LRM 1 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.04,3,3000.0,3.0,"261, TM","ISBALRM1OS,IS BA LRM1 OS,"
W,"LRM 2 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.08,3,6000.0,4.0,"261, TM","ISBALRM2OS,IS BA LRM2 OS,"
W,"LRM 3 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.12,4,9000.0,6.0,"261, TM","ISBALRM3OS,IS BA LRM3 OS,"
W,"LRM 4 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.16,5,12000.0,8.0,"261, TM","ISBALRM4OS,IS BA LRM4 OS,"
W,"LRM 5 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-E-D","Standard","~3055(FS)","~3055(FS)","3057(FS)","3060","-","-",0.2,5,18000.0,9.0,"261, TM","ISBALRM5OS,IS BA OS LRM-5,ISBALRM5 (OS),IS BALRM 5 (OS),"
W,"MRM 1 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.05,2,2500.0,2.0,"261, TM","ISBAMRM1OS,IS BA MRM1 OS,"
W,"MRM 2 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.1,2,5000.0,3.0,"261, TM","ISBAMRM2OS,IS BA MRM2 OS,"
W,"MRM 3 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.15,3,7500.0,4.0,"261, TM","ISBAMRM3OS,IS BA MRM3 OS,"
W,"MRM 4 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.2,3,10000.0,45.0,"261, TM","ISBAMRM4OS,IS BA MRM4 OS,"
W,"MRM 5 (OS)","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-D-B","Standard","~3058(DC)","~3058(DC)","3060(DC)","3067","-","-",0.25,4,12500.0,6.0,"261, TM","ISBAMRM5OS,IS BA MRM5 OS,"
W,"Rocket Launcher 1","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3052","-","-",0.025,2,1500.0,2.0,"261, TM","ISBARL1,BA RL 1,BARL1,ISBARocketLauncher1,IS BA RLauncher-1,"
W,"Rocket Launcher 2","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3052","-","-",0.05,2,3000.0,3.0,"261, TM","ISBARL2,BARL2,BA RL 2,ISBARocketLauncher2,IS BA RLauncher-2,"
W,"Rocket Launcher 3","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3052","-","-",0.075,3,4500.0,4.0,"261, TM","ISBARL3,BA RL 3,BARL3,ISBARocketLauncher3,IS BA RLauncher-3,"
W,"Rocket Launcher 4","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3052","-","-",0.1,3,6000.0,5.0,"261, TM","ISBARL4,BA RL 4,BARL4,ISBARocketLauncher4,IS BA RLauncher-4,"
W,"Rocket Launcher 5","Inner Sphere","IS_TW_Non_Box/IS_Advanced/IS_Experimental","E/X-X-B-B","Standard","~3050(FS,LC)","~3050(FS,LC)","3050(FS,LC)","3052","-","-",0.125,4,6000.0,6.0,"261, TM","ISBARL5,BARL5,ISBARocketLauncher5,IS BA RLauncher-5,"
W,"Machine Gun (Bearhunter ACi)","Clan","Clan_Unofficial","D/X-X-F-D","Unofficial","~3060(CHH)","~3060(CHH)","3062(CHH)","3065","-","-",0.15,2,0.0,9.0,"Unofficial","Machine Gun (Bearhunter ACi),CLBearhunter Superheavy ACi,CLBearhunterSuperheavyACi,"
W,"Cruise Missile/50","Inner Sphere","IS_Advanced/IS_Experimental","E/X-X-F-E","Advanced","3065(FS)","3065(FS)","~3095(FS)","-","-","-",55.0,55,900000.0,601.0,"284, TO","ISCruiseMissile50,"
W,"Cruise Missile/70","Inner Sphere","IS_Advanced/IS_Experimental","E/X-X-F-E","Advanced","3065(FS)","3065(FS)","~3095(FS)","-","-","-",80.0,80,1250000.0,1031.0,"284, TO","ISCruiseMissile70,"
W,"Cruise Missile/90","Inner Sphere","IS_Advanced/IS_Experimental","E/X-X-F-E","Advanced","3065(FS)","3065(FS)","~3095(FS)","-","-","-",100.0,100,1250000.0,1530.0,"284, TO","ISCruiseMissile90,"
W,"Cruise Missile/120","Inner Sphere","IS_Advanced/IS_Experimental","E/X-X-F-E","Advanced","3065(FS)","3065(FS)","~3095(FS)","-","-","-",135.0,120,3000000.0,2281.0,"284, TO","ISCruiseMissile120,"
W,"AC/10i","Inner Sphere","IS_Unofficial","C/C-D-D-D","Unofficial","2443(TH)","2443(TH)","2460(TH)","2465","~2850","-",12.0,7,410000.0,167.0,"Unofficial","ISAutocannon10i,ISAC10i,ISAC/10i,"
W,"AC/15","Inner Sphere","IS_Unofficial","C/D-E-D-D","Unofficial","2488(LC)","2488(LC)","2500(LC)","2502","~2850","-",13.0,8,250000.0,178.0,"Unofficial","Autocannon/15,IS Auto Cannon/15,Auto Cannon/15,AutoCannon/15,AC/15,ISAC15,IS Autocannon/15,"
W,"GAC/2","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3060(FS)","~3060(FS)","3062(FS)","3071","-","-",8.0,2,100000.0,88.0,"Unofficial","GAC/2,IS Gatling Auto Cannon/2,Gatling Auto Cannon/2,Gatling AutoCannon/2,ISGAC2,IS Gatling Autocannon/2,"
W,"GAC/4","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3060(FS)","~3060(FS)","3062(FS)","3071","-","-",12.0,4,200000.0,175.0,"Unofficial","GAC/4,IS Gatling Auto Cannon/4,Gatling Auto Cannon/4,Gatling AutoCannon/4,ISGAC4,IS Gatling Autocannon/4,"
W,"GAC/6","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3060(FS)","~3060(FS)","3062(FS)","3071","-","-",14.0,4,300000.0,316.0,"Unofficial","GAC/6,IS Gatling Auto Cannon/6,Gatling Auto Cannon/6,Gatling AutoCannon/6,ISGAC6,IS Gatling Autocannon/6,"
W,"GAC/8","Inner Sphere","IS_Unofficial","E/X-X-E-D","Unofficial","~3060(FS)","~3060(FS)","3062(FS)","3071","-","-",16.0,4,400000.0,421.0,"Unofficial","GAC/8,IS Gatling Auto Cannon/8,Gatling Auto Cannon/8,Gatling AutoCannon/8,ISGAC8,IS Gatling Autocannon/8,"
W,"Enhanced PPC","Clan","Clan_Advanced/Clan_Experimental","F/X-E-X-E","Advanced","~2822(CWV)","~2822(CWV)","2823(CWV)","-","2831","3080",7.0,3,300000.0,329.0,"95, IO","CLWERPPC,Wolverine ER PPC,CLWERPPC,Wolverine ER PPC,ISEHERPPC,IS EH ER PPC,"
W,"Naval Laser 35","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","ES","ES","~2305(TA)","-","~2950","3051(FS,LC)",700.0,0,500000.0,830.0,"333, TO","Naval Laser 35,NL35,Naval Laser 35 (Clan),"
W,"Naval Laser 45","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","ES","ES","~2305(TA)","-","~2950","3051(FS,LC)",900.0,0,850000.0,1134.0,"333, TO","Naval Laser 45,NL45,Naval Laser 45 (Clan),"
W,"Naval Laser 55","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","ES","ES","~2305(TA)","-","~2950","3051(FS,LC)",1100.0,0,1250000.0,1386.0,"333, TO","Naval Laser 55,NL55,Naval Laser 55 (Clan),"
W,"Naval PPC (Light)","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","~2350","~2350","~2356(TH)","-","~2950","3052(DC)",1400.0,0,2000000.0,1659.0,"333, TO","Naval PPC (Light),LightNPPC,Light NPPC (Clan),"
W,"Naval PPC (Medium)","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","~2350","~2350","~2356(TH)","-","~2950","3052(DC)",1800.0,0,3250000.0,2268.0,"333, TO","Naval PPC (Medium),MediumNPPC,Medium NPPC (Clan),"
W,"Naval PPC (Heavy)","Inner Sphere","IS_Advanced/IS_Experimental","D/D-X-E-E","Standard","~2350","~2350","~2356(TH)","-","~2950","3052(DC)",3000.0,0,9050000.0,3780.0,"333, TO","Naval PPC (Heavy),HeavyNPPC,Heavy NPPC (Clan),"
W,"Naval Autocannon (NAC/10)","Inner Sphere","IS_Advanced/IS_Experimental","D/E-X-E-E","Standard","ES","ES","~2195(TA)","-","~2950","3051(FS,LC)",2000.0,0,2000000.0,1896.0,"331, TO","Naval Autocannon (NAC/10),NAC10,"
W,"Naval Autocannon (NAC/20)","Inner Sphere","IS_Advanced/IS_Experimental","D/E-X-E-E","Standard","ES","ES","~2195(TA)","-","~2950","3051(FS,LC)",2500.0,0,5000000.0,3792.0,"331, TO","Naval Autocannon (NAC/20),NAC20,"
W,"Naval Autocannon (NAC/25)","Inner Sphere","IS_Advanced/IS_Experimental","D/E-X-E-E","Standard","ES","ES","~2200(TA)","-","~2950","3051(FS,LC)",3000.0,0,7500000.0,4740.0,"331, TO","Naval Autocannon (NAC/25),NAC25,"
W,"Naval Autocannon (NAC/30)","Inner Sphere","IS_Advanced/IS_Experimental","D/E-X-E-E","Standard","ES","ES","~2200(TA)","-","~2950","3051(FS,LC)",3500.0,0,1.05E7,5688.0,"331, TO","Naval Autocannon (NAC/30),NAC30,"
W,"Naval Autocannon (NAC/35)","Inner Sphere","IS_Advanced/IS_Experimental","D/E-X-E-E","Standard","ES","ES","~2201(TA)","-","~2950","3051(FS,LC)",4000.0,0,1.4E7,4956.0,"331, TO","Naval Autocannon (NAC/35),NAC35,"
